Sistema,Codigo,Descripcion,Imagen,Vida util (dias)
Ablandador 25 CAB,SOFTN25LPFC,"Ablandador automático de 25 Litros de
resina, según descripción técnica.
Incluye un cartucho de prefiltracion de
sólidos + cloro.",Sistemas_Images/Ablandador 25 CAB.Imagen.170341.jpg,2555
Ablandador 50 CAB,SOFTN50LPFC,"Ablandador automatico de 50 Litros de
resina, según descripción técnica.
Incluye un cartucho de prefiltracion de
sólidos + cloro y una bolsa de sal de 25 Kg.",Sistemas_Images/Ablandador 50 CAB.Imagen.170307.jpg,2555
Osmosis Bajo Mesada 50/75GPD 5e,OHMORBMZ5,Sistema de osmosis inversa de 5 etapas de purificación 75 GPD con tanque de almacenamiento de 12 Litros,Sistemas_Images/Osmosis Bajo Mesada 50-75GPD 5e.Imagen.165604.jpg,2555
Osmosis Bajo Mesada 50/75GPD 6e,OHMORBMEZ6,Sistema de osmosis inversa de 6 etapas de purificación 75 GPD con tanque de almacenamiento de 12 Litros,Sistemas_Images/Osmosis Bajo Mesada 50-75GPD 6e.Imagen.170219.jpg,2555
Osmosis Bajo Mesada Industrial,,,,2555
Osmosis 300 l/h,OHMRO300LTS,"Sistema de osmosis inversa para producción de 300 l/h de agua potable, con sistema de pretratamiento.",Sistemas_Images/Osmosis 300 l-h.Imagen.133214.png,2555
Osmosis 1500 l/h,OHMRO1500LTS,"Sistema de osmosis inversa para produccion de 1500 l/h de agua potable, con sistema de pretatamiento y bomba de baja presión.",Sistemas_Images/Osmosis 1500 l-h.Imagen.170952.jpg,2555
,,,,
Ablandador 50 PP,SOFTN50LPP,"Ablandador automático de 50 L de resina catiónica  con prefiltración de solidos. Incluye tanque salero, válvula de bypass, accesorios de instalación y bolsa de sal de 25 Kg.",,365
Ablandador 150 PP,,,,
Analisis de agua,ANALISOHM,"Opcional: análisis de nivel de dureza
total en el agua de alimentación",Sistemas_Images/Analisis de agua.Imagen.161145.jpg,365
Instalacion Ablandador,INSTALLOHM,"Instalacion y puesta en marcha. Incluye
los accesorios basicos de instalacion",,365
Ablandador 75 CAB,SOFTN75LPFC,"Ablandador automatico de 75 litros de resina, segun descripcion técnica. Incluye un cartucho de prefiltración de sólidos + cloro y una bolsa de sal de 25 Kg.",Sistemas_Images/Ablandador 75 CAB.Imagen.171221.jpg,2555
Provisión especial,OHMLABOR,"Por la provisión de :
- Sistema de dosificaion de cloro ( Bomba Aquatron A1) + tanque de 50 litros para cloro.
- Sistema de ósmosis inversa para produccion de 300 l/h de agua libre de contaminantes.
- Sistema de dosificacion de luz UV para esterilizacion final de agua producida.
- Dispenser de agua potable, construido en acero inoxidable , de tamaño adeacuado para bidones de 20 litros.",,365
HPLC CHROMASTER UV 5410,HPLCUV5410,"Sistema cromatográfico modelo Chromaster con detector UV 5410, Bomba CM5160, Inyector automático CM5260, Horno calefactor de columnas CM5310",Sistemas_Images/HPLC CHROMASTER UV 5410.Imagen.193516.jpg,2555
MP HPLC CHROMASTER UV 5410,MPHPLCCM5410,"MANTENIMIENTO PREVENTIVO para sistema cromatográfico modelo Chromaster con detector UV 5410, Bomba CM5160, Inyector automático CM5260, Horno calefactor de columnas CM5310",Sistemas_Images/MP HPLC CHROMASTER UV 5410.Imagen.150356.jpg,365
OQ HPLC CHROMASTER UV 5410,OQHPLCCM5410,"Calificación Operacional (OQ) para sistema cromatográfico modelo Chromaster con detector UV 5410, Bomba CM5160, Inyector automático CM5260, Horno calefactor de columnas CM5310",Sistemas_Images/OQ HPLC CHROMASTER UV 5410.Imagen.151608.jpg,356
Servicio In-Company TZ 2,SINCTZ2,Viáticos,Sistemas_Images/Servicio In-Company TZ 2.Imagen.153541.jpg,365
MP HPLC CHROMASTER DAD 5430,MPHPLCCM5430,"MANTENIMIENTO PREVENTIVO para sistema cromatográfico modelo Chromaster con detector DAD 5430, Bomba CM5160, Inyector automático CM5260, Horno calefactor de columnas CM5310",Sistemas_Images/MP HPLC CHROMASTER DAD 5430.Imagen.150343.jpg,365
